lat,lon,clima_approach,clima,approach,tleaf_cwm,twood_cwm,troot_cwm,aleaf_cwm,awood_cwm,aroot_cwm
-3.75,-61.75,lowprec_pft,lowprec,pft,2.900514,27.015427,2.900514,0.30497429,0.31517998,0.36989716
-3.75,-57.75,lowprec_pft,lowprec,pft,2.916121,27.483624,2.916121,0.30419397,0.32064228,0.36677586
-3.75,-57.25,lowprec_pft,lowprec,pft,2.920952,27.62855,2.920952,0.30395243,0.32233307,0.36580967
-3.75,-56.75,lowprec_pft,lowprec,pft,2.901726,27.051762,2.901726,0.30491375,0.31560389,0.36965496
-3.75,-56.25,lowprec_pft,lowprec,pft,2.447303,28.246202,2.447303,0.3276349,0.32953903,0.33698013
-3.75,-55.75,lowprec_pft,lowprec,pft,2.917254,27.51762,2.917254,0.3041373,0.3210389,0.36654922
-3.75,-53.25,lowprec_pft,lowprec,pft,2.46572,28.185997,2.46572,0.32671394,0.32883663,0.33840267
-3.75,-52.75,lowprec_pft,lowprec,pft,2.415813,28.205925,2.415813,0.32920933,0.32906914,0.33574127
-3.75,-52.25,lowprec_pft,lowprec,pft,2.411125,28.201508,2.411125,0.32944378,0.3290176,0.33554367
-3.75,-51.75,lowprec_pft,lowprec,pft,2.411628,28.19017,2.411628,0.32941856,0.32888535,0.33566338
-3.75,-51.25,lowprec_pft,lowprec,pft,2.41245,28.177612,2.41245,0.32937748,0.3287388,0.33580902
-3.25,-73.75,lowprec_pft,lowprec,pft,2.417266,28.00841,2.417266,0.32913666,0.32676476,0.3374599
-3.25,-73.25,lowprec_pft,lowprec,pft,2.411005,28.027603,2.411005,0.32944973,0.3269887,0.33698692
-3.25,-72.75,lowprec_pft,lowprec,pft,2.410754,28.03577,2.410754,0.3294623,0.32708397,0.33690628
-3.25,-72.25,lowprec_pft,lowprec,pft,2.41244,28.021816,2.41244,0.329378,0.3269212,0.33710682
-3.25,-71.75,lowprec_pft,lowprec,pft,2.414067,27.977829,2.414067,0.3292966,0.326408,0.3375548
