ny,nx,lat,lon,clima,forest,area_m2,gpp,ra,npp,rc,et,cue,cmass,cleaf,cfroot,cawood
172,229,-3.75,-65.25,lowprec,1,3084449800,3.496436,2.838016,1.523241,74.012856,4.741995,0.286824,16.02616,1.311808,1.515738,13.198614
172,230,-3.75,-64.75,lowprec,1,3084449800,2.914049,2.535014,1.343073,75.59869,4.849563,0.26411,14.731544,1.150007,1.335885,12.245654
172,231,-3.75,-64.25,lowprec,1,3084449800,3.833412,2.848797,1.587396,69.46397,4.653829,0.30087,16.315176,1.353823,1.580944,13.380409
172,232,-3.75,-63.75,lowprec,1,3084449800,3.563011,2.745144,1.424075,76.09202,4.728004,0.284269,15.041038,1.209002,1.402703,12.429333
172,233,-3.75,-63.25,lowprec,1,3084449800,3.899728,2.906565,1.513614,75.860695,4.771598,0.295112,15.73562,1.282514,1.49031,12.962797
172,234,-3.75,-62.75,lowprec,1,3084449800,2.928851,2.448844,1.280006,76.9825,4.905891,0.264387,14.27922,1.094019,1.284581,11.90062
172,235,-3.75,-62.25,lowprec,1,3084449800,1.251122,1.450245,0.673375,88.18103,5.180475,0.192464,10.651831,0.583728,0.713581,9.354524
172,236,-3.75,-61.75,lowprec,0,3084449800,1.180484,1.515155,0.654929,91.85874,5.417211,0.172096,8.204445,0.593194,0.770279,6.840971
172,237,-3.75,-61.25,lowprec,0,3084449800,0.64223,1.040649,0.363577,87.50552,5.886701,0.136475,5.170017,0.391865,0.503826,4.274326
172,243,-3.75,-58.25,lowprec,1,3084449800,0.467909,0.759351,0.251535,73.716225,4.96538,0.128346,4.93368,0.279398,0.359225,4.295057
172,244,-3.75,-57.75,lowprec,1,3084449800,1.114292,1.451343,0.613689,85.180046,4.731829,0.172606,8.966326,0.547038,0.707373,7.711915
172,245,-3.75,-57.25,lowprec,1,3084449800,1.033784,1.351673,0.578009,84.84495,4.746398,0.170516,8.936704,0.516751,0.668027,7.751927
172,246,-3.75,-56.75,lowprec,1,3084449800,1.433437,1.703396,0.7912,81.47835,4.771916,0.186737,9.905057,0.678021,0.885259,8.341777
