ny,nx,lat,lon,clima_approach,gpp,npp,cmass,cleaf,cfroot,cawood,agb
171,226,-4.25,-66.75,PFT_nclim,4.550222,1.536697,14.679477,1.235842,1.429067,12.014568,13.25041
171,227,-4.25,-66.25,PFT_nclim,4.726721,1.607349,15.203638,1.300518,1.474236,12.428885,13.729403
171,228,-4.25,-65.75,PFT_nclim,5.096173,1.866862,17.540773,1.512526,1.719665,14.308583,15.821109
171,229,-4.25,-65.25,PFT_nclim,4.712575,1.887741,17.091341,1.55439,1.770734,13.766217,15.320607
171,230,-4.25,-64.75,PFT_nclim,5.034854,1.902331,17.655735,1.5448,1.757214,14.353722,15.898522
171,231,-4.25,-64.25,PFT_nclim,5.579955,2.007187,18.4618,1.583094,1.792249,15.086457,16.669551
171,232,-4.25,-63.75,PFT_nclim,5.490792,1.977129,18.303774,1.559767,1.765461,14.978548,16.538315
171,233,-4.25,-63.25,PFT_nclim,5.569307,2.0105,18.509518,1.584642,1.794067,15.130809,16.715451
171,234,-4.25,-62.75,PFT_nclim,5.673313,2.00998,18.43544,1.581974,1.790344,15.063122,16.645096
171,235,-4.25,-62.25,PFT_nclim,5.867537,2.07494,18.819191,1.634021,1.849968,15.3352,16.969221
171,236,-4.25,-61.75,PFT_nclim,5.111664,1.913684,18.0007,1.561133,1.777294,14.662273,16.223406
171,237,-4.25,-61.25,PFT_nclim,3.92022,1.68054,16.302483,1.429706,1.675468,13.197309,14.627015
171,238,-4.25,-60.75,PFT_nclim,3.69211,1.610691,15.479825,1.382397,1.617843,12.479586,13.861983
171,239,-4.25,-60.25,PFT_nclim,2.684138,1.321557,12.265227,1.113281,1.293064,9.858881,10.972162
171,240,-4.25,-59.75,PFT_nclim,1.716691,0.936659,9.110538,0.777266,0.941891,7.391382,8.168648
171,241,-4.25,-59.25,PFT_nclim,2.448494,1.220236,11.244293,1.017426,1.17805,9.048816,10.066242
171,242,-4.25,-58.75,PFT_nclim,2.758788,1.284673,11.881345,1.074131,1.238157,9.569057,10.643188
171,243,-4.25,-58.25,PFT_nclim,3.418168,1.3561,13.255516,1.134601,1.342086,10.778828,11.913429
171,244,-4.25,-57.75,PFT_nclim,5.114659,1.729821,16.313711,1.371987,1.55512,13.386604,14.758591
171,245,-4.25,-57.25,PFT_nclim,5.059145,1.713904,16.225582,1.363374,1.549465,13.312744,14.676118
171,246,-4.25,-56.75,PFT_nclim,5.177865,1.772046,16.740952,1.407014,1.600041,13.733895,15.140909
171,247,-4.25,-56.25,PFT_nclim,5.000791,1.698569,15.830612,1.340124,1.562804,12.927684,14.267808
171,248,-4.25,-55.75,PFT_nclim,4.646192,1.636411,15.376156,1.28246,1.501678,12.592018,13.874478
171,249,-4.25,-55.25,PFT_nclim,4.647571,1.628855,15.420873,1.283684,1.504101,12.633087,13.916771
