"","ny","nx","lat","lon","clima","area_m2","gpp","ra","npp","rc","et","cue","cmass","cleaf","cfroot","cawood","tleaf_cwm","twood_cwm","troot_cwm","aleaf_cwm","awood_cwm","aroot_cwm","PC1","PC2","PC3","PC4","PC5","PC6"
"63",169,242,-5.25,-58.75,"lowprec",3078101000,2.177146,2.107285,1.142724,68.0093,4.878486,0.233054,14.42281,0.91818,0.945014,12.559615,2.43166,28.156876,2.43166,32.841698,32.849686,33.69424,-0.454654207306903,-0.0536955814259642,-1.34078127993209e-06,-1.89655951307599e-06,-1.31107814226299e-06,-3.16415636660998e-16
"64",169,243,-5.25,-58.25,"lowprec",3078101000,1.416779,1.735193,0.764185,64.38873,4.773171,0.180847,10.792691,0.687134,0.819151,9.286406,2.907389,27.221678,2.907389,30.463053,31.758625,36.852215,5.32224103404208,-0.295740309667329,-1.41725599844822e-06,-1.72573638557161e-06,2.9472753274723e-07,3.45934166263345e-15
"65",169,253,-5.25,-53.25,"lowprec",3078101000,0.857615,1.100431,0.474077,72.31906,5.176926,0.155796,9.630446,0.423497,0.494079,8.71287,3,30,3,30,35,35,4.88580310967972,-3.81763245455914,-9.15057013495257e-09,-6.02660203963268e-08,8.37992852539826e-09,4.48301712435333e-15
"66",170,215,-4.75,-72.25,"lowprec",3080451800,2.087881,1.963051,1.010621,93.53903,5.180017,0.242261,12.43519,0.838658,0.894196,10.702337,2.458651,27.819788,2.458651,32.70674,32.45642,34.1101,0.022876045724379,0.265950483195966,-4.45572016018192e-06,-2.5307890173798e-06,2.91089824292021e-07,-6.8882480953732e-17
"67",170,216,-4.75,-71.75,"lowprec",3080451800,2.010365,1.885258,0.98131,90.28833,4.864351,0.242373,12.109204,0.812355,0.857481,10.439368,2.449805,27.885977,2.449805,32.750973,32.533638,34.010708,-0.110278663492938,0.213173058118554,-3.10219314607341e-06,1.42623807344866e-06,-8.06720757046933e-07,-1.65379890423913e-16
"68",170,217,-4.75,-71.25,"lowprec",3080451800,2.86529,2.405378,1.303089,84.834206,4.545079,0.276141,14.799269,1.084794,1.109723,12.604752,2.41875,27.945261,2.41875,32.90625,32.602806,33.80603,-0.48645829391212,0.231043808399843,-6.34376614697119e-07,1.09340068482622e-06,7.42895438237204e-07,-3.54461385910141e-16
"69",170,218,-4.75,-70.75,"lowprec",3080451800,3.497779,2.638098,1.448383,82.5008,4.274113,0.30315,16.108267,1.183805,1.195526,13.728937,2.407499,28.038652,2.407499,32.962505,32.71176,33.67196,-0.660661218370938,0.153113994690912,2.38527673464273e-06,-4.59637440852756e-06,-4.71751853253419e-07,-5.20999029920255e-16
"70",170,219,-4.75,-70.25,"lowprec",3080451800,3.596287,2.636803,1.449083,82.49451,4.11421,0.309065,16.141048,1.170535,1.179726,13.790789,2.405983,28.073614,2.405983,32.97009,32.752552,33.635242,-0.69593915958907,0.116345695448718,6.80648771331227e-06,-2.10759973481855e-06,9.75143220826105e-07,-5.03046982601728e-16
"71",170,220,-4.75,-69.75,"lowprec",3080451800,3.619266,2.607419,1.438208,80.92234,3.980859,0.312015,16.165869,1.154438,1.162703,13.848726,2.406119,28.103085,2.406119,32.969402,32.786934,33.61136,-0.70996487834044,0.0813681169898248,-2.12225538523403e-06,-2.60511817537501e-06,6.59184157563407e-07,-4.32560952576198e-16
"72",170,221,-4.75,-69.25,"lowprec",3080451800,3.548148,2.553528,1.402629,81.93205,3.867493,0.310963,15.798038,1.125378,1.133201,13.53946,2.406012,28.10742,2.406012,32.969936,32.791992,33.60721,-0.713439467614429,0.0765800196643615,-3.81710531061064e-06,-1.57769959266418e-06,9.42229100377862e-07,-4.32096910984404e-16
