nx,ny,lat,lon,approach,clima,tleaf_cwm,twood_cwm,troot_cwm,aleaf_cwm,awood_cwm,aroot_cwm
234,176,-1.75,-62.75,plsnclim,nclim,2.30579323768616,25.881688117981,2.27914688587189,0.318859499692917,0.359346804022789,0.321793699264526
234,177,-1.25,-62.75,plsnclim,nclim,2.35338582992554,25.9649099349976,2.3226352930069,0.32209820151329,0.354375901818275,0.32352579832077
234,178,-0.75,-62.75,plsnclim,nclim,2.30029528141022,26.0419118881226,2.27971329689026,0.32260790169239,0.356053400039673,0.321338999271393
234,179,-0.25,-62.75,plsnclim,nclim,2.202032995224,26.2984111785889,2.16734719276428,0.32819749712944,0.356980299949646,0.314822396636009
234,180,0.25,-62.75,plsnclim,nclim,2.18738059997559,26.3363729476929,2.12257208824158,0.333567601442337,0.354141801595688,0.312290397286415
234,181,0.75,-62.75,plsnclim,nclim,2.17372324466705,26.3129606246948,2.09689929485321,0.332676100730896,0.356187999248505,0.311135897040367
234,182,1.25,-62.75,plsnclim,nclim,2.17169892787933,26.3094501495361,2.08512763977051,0.332966300845146,0.35656730234623,0.310466501116753
234,183,1.75,-62.75,plsnclim,nclim,2.16827218532562,26.2925254821777,2.06907852888107,0.33432209789753,0.355947297811508,0.309730499982834
234,184,2.25,-62.75,plsnclim,nclim,2.16606202125549,26.2851787567139,2.05516324043274,0.332188501954079,0.358655399084091,0.309156194329262
234,185,2.75,-62.75,plsnclim,nclim,2.16396920681,26.3050691604614,2.06325719356537,0.33415450155735,0.356366297602653,0.309479397535324
234,186,3.25,-62.75,plsnclim,nclim,2.16280171871185,26.35871925354,2.07299222946167,0.335337197780609,0.354606506228447,0.310055899620056
234,187,3.75,-62.75,plsnclim,nclim,2.16341488361359,26.3631771087646,2.08404718637466,0.334269106388092,0.355084699392319,0.310646295547485
234,188,4.25,-62.75,plsnclim,nclim,2.16514315605164,26.3772119522095,2.09509718418121,0.332498103380203,0.356152102351189,0.31134979724884
