"","X","nx","ny","lat","lon","clima","gpp","ra","npp","rc","et","wue","cue","cmass","cleaf","cfroot","cawood","tleaf_cwm","twood_cwm","troot_cwm","aleaf_cwm","awood_cwm","aroot_cwm","PC1","PC2","PC3","PC4","PC5","PC6"
"2709",866,227,194,7.25,-66.25,"nclim",2.65049293041229,1.59251869916916,1.06691040992737,119.570822143555,4.1182918548584,0.008942999877036,0.386812701821327,12.0492342948914,0.651637411117554,0.647101807594299,10.7504965782166,2.23847620487213,26.3316484451294,2.19658913612366,0.329052099585533,0.354561299085617,0.316386702656746,1.34536526854093,0.164605787847591,-0.0690202063728851,0.0149174765258896,-0.0882818884282302,-9.70542945621933e-07
"2710",867,227,195,7.75,-66.25,"nclim",2.56182863712311,1.56079652309418,1.02477760314941,121.744088745117,4.15345778465271,0.008736999705434,0.371982595324516,11.5805523872375,0.63110060095787,0.624542301893234,10.3249088287354,2.27462430000305,26.3546100616455,2.21481907367706,0.327890399098396,0.354899701476097,0.317209401726723,1.30050919739145,0.117787397152603,-0.0512185675273167,0.0277981540022865,-0.0618034524725104,5.41836535300488e-06
"2711",868,227,196,8.25,-66.25,"nclim",2.33706092834473,1.50830960273743,0.964519596099853,123.978804779053,4.20695004463196,0.008500999771059,0.34937330186367,10.9149603843689,0.604365301132202,0.592021709680557,9.71857604980469,2.33055281639099,26.3713123321533,2.25123910903931,0.327332299947739,0.354580798745155,0.318086901307106,1.23653898304531,0.0944362490103079,-0.00362658552406048,0.0439641354986148,-0.02585402680367,1.49223738588056e-07
"2712",869,227,197,8.75,-66.25,"nclim",2.20385801792145,1.48926280736923,0.93954890370369,126.4686378479,4.26332745552063,0.008244000375271,0.340827497839928,10.627172088623,0.594703608751297,0.58722910284996,9.445237159729,2.35632569789886,26.367654800415,2.28397760391235,0.327303701639175,0.353341999650002,0.319354400038719,1.18730579907465,0.0978249774535005,0.0273159523844332,0.0429609307700525,-0.0230281131212424,-9.21248143437303e-07
"2713",870,227,198,9.25,-66.25,"nclim",2.0904114484787,1.47030507326126,0.905655294656754,129.346379089355,4.32778825759888,0.007934999652207,0.331196001172066,10.2362034797668,0.573143595457077,0.584310895204544,9.07875213623047,2.38847343921661,26.3263599395752,2.3429749250412,0.324265497922897,0.353380897641182,0.322353500127792,1.07871865804359,-0.00308105838080826,0.0187374628335172,0.0182286592377493,0.000138691558894705,1.26719418969135e-06
"2714",871,227,199,9.75,-66.25,"nclim",2.04708602428436,1.46614931821823,0.886391496658325,132.453820800781,4.40930042266846,0.007592000067234,0.325116604566574,10.0002320289612,0.562201899290085,0.585852497816086,8.85217895507813,2.41033837795258,26.2632959365845,2.38536553382874,0.322684398293495,0.353199002146721,0.324116697907448,1.00588669621433,-0.0490837913238072,0.0146657547915717,-0.00068516272770329,0.0192534434760845,-8.86803814714732e-07
"2715",872,227,200,10.25,-66.25,"nclim",1.98491809368134,1.45332518815994,0.865145194530487,135.434371948242,4.4824490070343,0.007306000217795,0.317151102423668,9.68929481506348,0.552095103263855,0.58120459318161,8.55599608421326,2.43487207889557,26.1467254638672,2.41962652206421,0.322329196333885,0.351929399371147,0.325741297006607,0.93686088068702,-0.0407664854013702,0.0172573306739194,-0.00699054097468666,0.0333025684794363,1.3061299453665e-06
"2716",873,227,201,10.75,-66.25,"nclim",1.9108295083046,1.4396281003952,0.840496510267258,139.683114624023,4.5501088142395,0.006978999823332,0.307458198070526,9.38181066513062,0.542233198881149,0.568814694881439,8.27076091766357,2.46305003166199,26.1712448120117,2.44215724468231,0.323267102241516,0.349857598543167,0.326875802874565,0.900846270735243,-0.00467445091588669,0.0661806271465766,0.00736929827634274,0.0235712695864337,-5.18490892159607e-06
"2717",874,227,202,11.25,-66.25,"nclim",1.89889541864395,1.43721070289612,0.840261191129684,143.928889465332,4.58484086990356,0.006688999943435,0.306532397866249,9.36982765197754,0.542289596796036,0.568584704399109,8.25895500183105,2.46613118648529,26.1562009811401,2.44359679222107,0.323045799136162,0.349978002905846,0.326976501941681,0.89405877046143,-0.0108645112518016,0.0622057256245689,0.00764830516075158,0.0288858208196039,-3.05921605819881e-06
"2718",875,227,203,11.75,-66.25,"nclim",1.89694218635559,1.43699551820755,0.842190688848495,147.891096496582,4.63253226280212,0.006399000063539,0.306518003344536,9.37803506851196,0.54252769947052,0.572329586744308,8.26317610740662,2.46624159812927,26.1160913467407,2.45099382400513,0.322412395477295,0.350161397457123,0.327426400780678,0.876457170599685,-0.0278113474682028,0.0474312825857899,-0.00043576203948488,0.0350511272612023,-1.88852714000376e-06
