ny,nx,lat,lon,forest,area_m2,gpp,ra,npp,rc,et,cue,cmass,cleaf,cfroot,cawood,tleaf_cwm,twood_cwm,troot_cwm,aleaf_cwm,awood_cwm,aroot_cwm
170,254,-4.75,-52.75,1,3080451800.0,3.931163,2.884668,1.622711,82.51748,4.716026,0.311366,17.792307,1.1946,1.208989,15.388718,2.411277,28.192818,2.411277,32.943615,32.89162,33.56237
170,255,-4.75,-52.25,1,3080451800.0,4.074606,2.957927,1.670075,82.876366,4.743502,0.315112,18.176088,1.230307,1.244251,15.70153,2.410128,28.183949,2.410128,32.94936,32.88127,33.564022
171,213,-4.25,-73.25,1,3082568200.0,4.327836,3.198204,1.778419,88.92072,5.186147,0.309929,19.210752,1.440937,1.455545,16.314272,2.406582,28.014385,2.406582,32.96709,32.68345,33.68759
171,214,-4.25,-72.75,0,3082568200.0,3.349103,2.725259,1.49329,88.6369,5.063903,0.282805,16.569702,1.221099,1.248253,14.100349,2.417817,27.952656,2.417817,32.91091,32.61143,33.795208
171,215,-4.25,-72.25,0,3082568200.0,2.067502,1.909211,0.993162,87.3765,4.919493,0.245528,12.324683,0.819715,0.871804,10.633164,2.456668,27.856724,2.456668,32.71666,32.49951,34.0694
171,216,-4.25,-71.75,0,3082568200.0,2.614851,2.276307,1.216821,83.16132,4.673996,0.265433,14.055195,1.010006,1.047013,11.998177,2.435887,27.917988,2.435887,32.820564,32.570984,33.914444
171,217,-4.25,-71.25,0,3082568200.0,3.400672,2.639125,1.452271,80.84852,4.403862,0.296174,16.156233,1.200451,1.215793,13.739988,2.409723,28.001293,2.409723,32.951385,32.668175,33.7142
171,218,-4.25,-70.75,0,3082568200.0,3.671212,2.693801,1.484641,79.917915,4.189702,0.309219,16.490437,1.200741,1.210671,14.079025,2.406221,28.065496,2.406221,32.96889,32.74308,33.643192
171,219,-4.25,-70.25,0,3082568200.0,3.712922,2.670869,1.472592,78.29684,4.070451,0.313141,16.492146,1.182351,1.190956,14.118838,2.405987,28.096382,2.405987,32.970066,32.779114,33.616283
171,220,-4.25,-69.75,1,3082568200.0,3.752592,2.64204,1.456294,76.01568,3.945691,0.316464,16.361752,1.164034,1.172028,14.02569,2.40589,28.110376,2.40589,32.97055,32.79544,33.604134
171,221,-4.25,-69.25,1,3082568200.0,3.620161,2.560694,1.409763,75.3854,3.833687,0.313704,15.98484,1.131667,1.14019,13.712982,2.406962,28.113039,2.406962,32.96519,32.798546,33.607285
171,222,-4.25,-68.75,1,3082568200.0,3.662727,2.546516,1.391947,75.73541,3.754601,0.314844,15.721853,1.113995,1.121537,13.486322,2.405953,28.115065,2.405953,32.970234,32.80091,33.60054
171,223,-4.25,-68.25,1,3082568200.0,4.026122,2.630248,1.433665,74.20765,3.689273,0.327482,15.908588,1.130555,1.136905,13.641129,2.403988,28.115585,2.403988,32.980064,32.801514,33.590286
171,224,-4.25,-67.75,1,3082568200.0,3.932226,2.595308,1.409442,73.22718,3.697008,0.321859,15.717749,1.120379,1.127162,13.470208,2.404359,28.106451,2.404359,32.978203,32.79086,33.599754
171,225,-4.25,-67.25,1,3082568200.0,3.686207,2.554063,1.395955,76.809044,3.813401,0.314297,15.78984,1.123386,1.130237,13.536217,2.404932,28.11078,2.404932,32.975338,32.79591,33.59901
171,226,-4.25,-66.75,1,3082568200.0,3.653517,2.667044,1.499608,77.22343,4.133163,0.311166,16.777435,1.218429,1.22827,14.330736,2.406204,28.071022,2.406204,32.968983,32.749527,33.6385
171,227,-4.25,-66.25,1,3082568200.0,3.539126,2.742337,1.530596,81.1466,4.560724,0.300967,16.915257,1.257433,1.270764,14.387059,2.407652,28.018692,2.407652,32.96174,32.688477,33.68935
171,228,-4.25,-65.75,1,3082568200.0,3.622146,2.793465,1.703891,69.73817,4.830218,0.306206,19.027847,1.414119,1.435387,16.178343,2.412713,28.001175,2.412713,32.936436,32.668037,33.729248
171,229,-4.25,-65.25,1,3082568200.0,3.468763,2.721914,1.710852,65.30074,4.921384,0.296688,18.547945,1.430475,1.458338,15.659132,2.414963,27.915012,2.414963,32.92519,32.567513,33.812305
171,230,-4.25,-64.75,1,3082568200.0,3.351688,2.6842,1.63597,67.30115,4.936212,0.288256,18.43014,1.365304,1.393232,15.671602,2.417655,27.969759,2.417655,32.911728,32.631386,33.780144
171,231,-4.25,-64.25,1,3082568200.0,3.66057,2.723197,1.636205,67.479385,4.771575,0.305506,18.593622,1.348619,1.381514,15.863489,2.42172,27.973732,2.42172,32.891403,32.63602,33.797153
171,232,-4.25,-63.75,1,3082568200.0,4.302895,2.943416,1.783368,67.72048,4.684465,0.329126,19.642756,1.440279,1.465997,16.73648,2.415595,28.005253,2.415595,32.922028,32.6728,33.74026
171,233,-4.25,-63.25,1,3082568200.0,4.366561,2.983026,1.815802,67.99571,4.79758,0.33098,19.909416,1.465378,1.490943,16.953094,2.415092,28.003292,2.415092,32.92454,32.67051,33.739388
171,234,-4.25,-62.75,1,3082568200.0,3.681273,2.735411,1.596205,73.95835,5.024752,0.303952,18.233683,1.31824,1.355958,15.559487,2.425693,27.948355,2.425693,32.871536,32.606415,33.838165
171,235,-4.25,-62.25,1,3082568200.0,1.957313,1.810749,1.015261,79.824554,5.343981,0.230981,13.919687,0.838919,0.886978,12.193792,2.455162,28.053387,2.455162,32.724194,32.72895,33.897987
171,236,-4.25,-61.75,0,3082568200.0,1.382227,1.67626,0.790472,76.470406,5.723457,0.180011,11.553398,0.717409,0.857836,9.978153,2.902707,27.081202,2.902707,30.486465,31.594736,36.945866
171,244,-4.25,-57.75,1,3082568200.0,1.273978,1.608057,0.708541,73.64962,4.764621,0.178,10.46206,0.633054,0.753315,9.075692,2.913134,27.394014,2.913134,30.434332,31.959682,36.737324
