ny,nx,lat,lon,clima,forest,area_m2,gpp,ra,npp,rc,et,cue,cmass,cleaf,cfroot,cawood
169,234,-5.25,-62.75,nclim,1,3078101000,5.673805,3.688085,1.98572,93.8942,5.358477,0.34364,18.238256,1.565411,1.773299,14.899548
169,235,-5.25,-62.25,nclim,1,3078101000,6.137131,3.860146,2.276985,81.031075,5.402495,0.364803,19.969828,1.795648,2.039572,16.13461
169,236,-5.25,-61.75,nclim,0,3078101000,6.344917,3.960727,2.384189,73.4294,5.459132,0.369981,20.496416,1.885063,2.144345,16.467007
169,237,-5.25,-61.25,nclim,0,3078101000,5.580369,3.709996,2.262026,67.25755,5.458058,0.349121,19.748589,1.839602,2.104239,15.804749
169,238,-5.25,-60.75,nclim,0,3078101000,4.691336,3.40333,2.034534,63.332478,5.443901,0.322819,18.670458,1.709193,1.960556,15.00071
169,239,-5.25,-60.25,nclim,0,3078101000,5.631527,3.700271,2.127197,61.661076,5.356262,0.340085,19.231245,1.727072,1.974134,15.530037
169,240,-5.25,-59.75,nclim,1,3078101000,6.131526,3.94071,2.190816,61.01007,5.305474,0.349371,19.604904,1.724375,1.953392,15.927135
169,241,-5.25,-59.25,nclim,1,3078101000,5.761024,3.783021,1.978003,66.30955,5.150894,0.334891,18.066736,1.554674,1.757597,14.754465
169,242,-5.25,-58.75,nclim,1,3078101000,5.457082,3.604964,1.852118,70.190834,4.856324,0.330313,17.120056,1.457718,1.646921,14.015416
169,243,-5.25,-58.25,nclim,1,3078101000,5.271626,3.487605,1.784019,73.55738,4.682922,0.328972,16.6205,1.40696,1.589483,13.624057
169,244,-5.25,-57.75,nclim,1,3078101000,5.089052,3.388496,1.700555,80.070564,4.607059,0.324064,15.896482,1.345966,1.520638,13.029881
169,245,-5.25,-57.25,nclim,1,3078101000,5.074216,3.37226,1.701956,81.536446,4.680557,0.324838,15.995346,1.352709,1.53664,13.105996
169,246,-5.25,-56.75,nclim,1,3078101000,4.997609,3.345601,1.652008,83.98566,4.862782,0.316893,15.404842,1.329287,1.548669,12.526886
169,247,-5.25,-56.25,nclim,1,3078101000,5.281944,3.518167,1.763778,85.52532,5.103614,0.321414,16.373512,1.399209,1.598863,13.375439
